team,year,leag,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost,class
DET,2001,N,2846,6301,1478,1954,810,2366,3176,1765,1695,648,1135,565,568,1510,7738,2926,6544,1349,1787,991,2511,3502,1637,1872,651,1207,334,359,993,7560,90.85058599999999,50,32,1
GSW,2001,N,2998,6989,1693,2344,1334,2493,3827,1706,1884,650,1325,523,320,994,8009,3213,6993,1622,2125,1100,2450,3551,2002,1946,706,1132,516,404,1162,8452,96.527649,21,61,0
HOU,2001,N,2837,6629,1402,1893,1025,2411,3436,1482,1476,537,1074,445,496,1480,7572,3191,6875,1221,1623,1045,2507,3552,1838,1647,576,949,414,370,1028,7973,90.681366,28,54,0
IND,2001,N,2935,6580,1663,2155,930,2568,3498,1884,1876,658,1191,436,405,1195,7938,2977,6800,1544,2062,1048,2514,3562,1771,1855,618,1120,465,418,1200,7916,94.09272,42,40,1
LAC,2001,N,2970,6668,1498,2026,1083,2474,3557,1714,1625,510,1150,540,408,1147,7846,3074,6866,1329,1783,1064,2379,3443,1859,1775,612,1009,439,407,1145,7884,91.998428,39,43,0
LAL,2001,N,3150,6839,1494,2138,1022,2607,3629,1882,1823,625,995,478,510,1439,8304,2872,6777,1577,2072,1016,2526,3542,1643,1888,586,1100,352,399,1259,7720,93.832359,58,24,1
MEM,2001,N,2851,6535,1334,1883,984,2413,3397,1785,1571,646,1290,488,336,1096,7372,3119,6830,1346,1788,1135,2560,3693,1960,1783,781,1164,455,398,1112,7982,92.56219499999999,23,59,0
MIA,2001,N,2801,6382,1236,1708,902,2544,3446,1664,1846,547,1153,448,312,899,7150,2666,6279,1565,2127,894,2484,3378,1461,1707,620,1073,353,379,1109,7276,89.317642,36,46,0
MIL,2001,N,3041,6577,1321,1767,841,2557,3398,1847,1788,596,1112,388,593,1583,7996,3016,6846,1489,1967,1050,2438,3489,1884,1641,599,993,361,493,1377,8014,92.348969,41,41,0
MIN,2001,N,3175,6887,1399,1754,1059,2562,3621,1993,1739,524,1069,427,396,1047,8145,2962,6654,1452,1958,912,2326,3238,1855,1674,542,1036,407,492,1321,7868,92.520126,50,32,1
NJN,2001,N,3042,6816,1402,1907,1039,2515,3554,1990,1734,716,1169,490,403,1194,7889,2858,6668,1423,1890,999,2517,3516,1563,1668,669,1243,440,409,1175,7548,93.85218,52,30,1
NYK,2001,N,2817,6520,1406,1786,876,2458,3334,1720,1800,558,1155,288,474,1344,7514,2924,6570,1550,2047,959,2540,3499,1762,1668,686,1059,385,443,1256,7841,91.596878,30,52,0
ORL,2001,N,3087,6893,1446,1917,942,2440,3382,1804,1700,665,1085,384,620,1660,8240,3116,6830,1470,1994,1086,2633,3720,1929,1737,658,1241,383,409,1161,8111,95.140472,44,38,1
PHI,2001,N,2804,6436,1639,2104,1092,2534,3626,1638,1646,705,1176,363,214,715,7461,2771,6500,1350,1798,981,2348,3329,1767,1826,654,1146,458,438,1322,7330,90.063927,43,39,1
PHO,2001,N,3097,6934,1250,1630,1072,2430,3501,1837,1784,668,1167,400,358,1096,7802,2957,6663,1511,2013,1030,2493,3521,1821,1520,685,1200,474,433,1208,7858,93.466827,36,46,0
POR,2001,N,3004,6671,1451,1901,1085,2444,3529,1926,1613,702,1117,368,466,1318,7925,2951,6508,1312,1771,890,2328,3218,1945,1650,613,1147,409,466,1285,7680,91.162689,49,33,1
SAC,2001,N,3267,7003,1618,2154,1013,2702,3715,1958,1560,741,1095,375,426,1160,8578,3128,7108,1312,1764,1065,2617,3682,1839,1826,633,1197,387,386,1145,7954,96.99640699999999,61,21,1
SAS,2001,N,2913,6363,1668,2249,907,2566,3473,1643,1575,625,1133,537,438,1211,7932,2883,6775,1283,1651,1003,2429,3432,1543,1893,635,1128,427,374,1108,7423,91.895927,58,24,1
SEA,2001,N,3131,6681,1263,1672,968,2333,3301,1926,1732,698,1085,364,489,1292,8014,2966,6605,1362,1844,1091,2326,3417,1832,1627,568,1205,400,472,1374,7766,91.043991,45,37,1
TOR,2001,N,2919,6727,1269,1717,1114,2336,3450,1779,1771,688,1109,454,387,1109,7494,2820,6390,1513,2011,995,2436,3432,1629,1613,628,1191,383,377,1089,7530,90.344604,42,40,1
UTA,2001,N,2869,6374,1853,2430,1109,2349,3458,1999,1971,749,1290,523,280,842,7871,2777,6216,1779,2308,927,2204,3133,1585,2070,747,1328,543,465,1215,7798,92.208511,44,38,1
WAS,2001,N,2938,6664,1428,1866,1055,2393,3448,1715,1763,570,999,354,305,786,7609,2953,6534,1396,1849,960,2376,3336,1818,1711,574,1062,414,422,1191,7724,89.923225,37,45,0
ATL,2002,N,2859,6434,1594,2011,937,2558,3495,1679,1783,611,1304,474,402,1141,7714,3015,6907,1530,2013,1072,2420,3492,1771,1668,738,1020,399,446,1243,8006,93.235313,35,47,0
